Identifier,Label,Description,Created,Modified,History notes,Type,Parent identifiers,Parent labels,Level 1,Level 2,Mapping type,Mapped identifier,Mapped label,Mapped type
131,Fire education and certification,,2016-09-12,2016-09-12,Added in March 2016 review,Function,19,Fire safety,Community safety,Fire safety,contains,804,Fire regulations - business enforcement,Service
131,Fire education and certification,,2016-09-12,2016-09-12,Added in March 2016 review,Function,19,Fire safety,Community safety,Fire safety,contains,803,Fire regulations - residential enforcement,Service
131,Fire education and certification,,2016-09-12,2016-09-12,Added in March 2016 review,Function,19,Fire safety,Community safety,Fire safety,contains,1608,Fire risk assessment - commercial property,Service
131,Fire education and certification,,2016-09-12,2016-09-12,Added in March 2016 review,Function,19,Fire safety,Community safety,Fire safety,contains,1119,Fire risk assessment - residential property,Service
131,Fire education and certification,,2016-09-12,2016-09-12,Added in March 2016 review,Function,19,Fire safety,Community safety,Fire safety,contains,812,Fire safety education,Service
131,Fire education and certification,,2016-09-12,2016-09-12,Added in March 2016 review,Function,19,Fire safety,Community safety,Fire safety,contains,809,Fire warden/commercial training,Service
131,Fire education and certification,,2016-09-12,2016-09-12,Added in March 2016 review,Function,19,Fire safety,Community safety,Fire safety,contains,1606,Private fire hydrants inspection,Service
131,Fire education and certification,,2016-09-12,2016-09-12,Added in March 2016 review,Function,19,Fire safety,Community safety,Fire safety,contains,814,Railway fire certificates,Service
21,Neighbourhood security,,2013-04-03,2013-04-03,,Function,16,Community safety,Community safety,,contains,1600,Alarm notification area,Service
21,Neighbourhood security,,2013-04-03,2013-04-03,,Function,16,Community safety,Community safety,,contains,657,Alley gating,Service
21,Neighbourhood security,,2013-04-03,2013-04-03,,Function,16,Community safety,Community safety,,contains,1783,Channel early intervention scheme,Service
21,Neighbourhood security,,2013-04-03,2013-04-03,,Function,16,Community safety,Community safety,,contains,1750,Civil injunction,Service
21,Neighbourhood security,,2013-04-03,2013-04-03,,Function,16,Community safety,Community safety,,contains,870,Community safety,Service
21,Neighbourhood security,,2013-04-03,2013-04-03,,Function,16,Community safety,Community safety,,contains,1044,Community wardens,Service
21,Neighbourhood security,,2013-04-03,2013-04-03,,Function,16,Community safety,Community safety,,contains,1782,Counter terrorism (Prevent),Service
21,Neighbourhood security,,2013-04-03,2013-04-03,,Function,16,Community safety,Community safety,,contains,1133,Hate crime,Service
21,Neighbourhood security,,2013-04-03,2013-04-03,,Function,16,Community safety,Community safety,,contains,423,Home safety advice,Service
21,Neighbourhood security,,2013-04-03,2013-04-03,,Function,16,Community safety,Community safety,,contains,1156,Neighbourhood policing,Service
21,Neighbourhood security,,2013-04-03,2013-04-03,,Function,16,Community safety,Community safety,,contains,164,Protection from harassment,Service
21,Neighbourhood security,,2013-04-03,2013-04-03,,Function,16,Community safety,Community safety,,contains,368,Release of CCTV evidence,Service
21,Neighbourhood security,,2013-04-03,2013-04-03,,Function,16,Community safety,Community safety,,contains,498,Town centre CCTV,Service
21,Neighbourhood security,,2013-04-03,2013-04-03,,Function,16,Community safety,Community safety,,contains,497,Town centre crime prevention,Service
21,Neighbourhood security,,2013-04-03,2013-04-03,,Function,16,Community safety,Community safety,,contains,586,Vandalism prevention,Service
20,Police services,,2013-04-03,2013-04-03,,Function,16,Community safety,Community safety,,,,,
132,Incident response,,2016-09-12,2016-09-12,Added in March 2016 review,Function,20,Police services,Community safety,Police services,contains,1483,Anti-social behaviour  - solvent abuse,Service
132,Incident response,,2016-09-12,2016-09-12,Added in March 2016 review,Function,20,Police services,Community safety,Police services,contains,1480,Anti-social behaviour - begging and vagrancy,Service
132,Incident response,,2016-09-12,2016-09-12,Added in March 2016 review,Function,20,Police services,Community safety,Police services,contains,1481,Anti-social behaviour - hoax or false calls to emergency services,Service
132,Incident response,,2016-09-12,2016-09-12,Added in March 2016 review,Function,20,Police services,Community safety,Police services,contains,1484,Anti-social behaviour - inconsiderate or nuisance,Service
132,Incident response,,2016-09-12,2016-09-12,Added in March 2016 review,Function,20,Police services,Community safety,Police services,contains,1485,Anti-social behaviour - neighbour nuisance,Service
132,Incident response,,2016-09-12,2016-09-12,Added in March 2016 review,Function,20,Police services,Community safety,Police services,contains,1486,Anti-social behaviour - street drinking,Service
132,Incident response,,2016-09-12,2016-09-12,Added in March 2016 review,Function,20,Police services,Community safety,Police services,contains,1487,Anti-social behaviour - vehicle,Service
132,Incident response,,2016-09-12,2016-09-12,Added in March 2016 review,Function,20,Police services,Community safety,Police services,contains,1482,Anti-social behaviour -malicious or nuisance communication,Service
132,Incident response,,2016-09-12,2016-09-12,Added in March 2016 review,Function,20,Police services,Community safety,Police services,contains,1477,Criminal damage - non-domestic building,Service
132,Incident response,,2016-09-12,2016-09-12,Added in March 2016 review,Function,20,Police services,Community safety,Police services,contains,1479,Criminal damage - non-specific,Service
132,Incident response,,2016-09-12,2016-09-12,Added in March 2016 review,Function,20,Police services,Community safety,Police services,contains,1478,Criminal damage - property,Service
132,Incident response,,2016-09-12,2016-09-12,Added in March 2016 review,Function,20,Police services,Community safety,Police services,contains,1475,Criminal damage - vehicle,Service
132,Incident response,,2016-09-12,2016-09-12,Added in March 2016 review,Function,20,Police services,Community safety,Police services,contains,626,Sudden death investigations,Service
133,Public safety,,2016-09-12,2016-09-12,Added in March 2016 review,Function,20,Police services,Community safety,Police services,contains,1752,Community protection notice,Service
133,Public safety,,2016-09-12,2016-09-12,Added in March 2016 review,Function,20,Police services,Community safety,Police services,contains,1751,Criminal Behaviour Order,Service
133,Public safety,,2016-09-12,2016-09-12,Added in March 2016 review,Function,20,Police services,Community safety,Police services,contains,1696,Criminal behaviour order,Service
133,Public safety,,2016-09-12,2016-09-12,Added in March 2016 review,Function,20,Police services,Community safety,Police services,contains,1476,Criminal damage - dwelling,Service
133,Public safety,,2016-09-12,2016-09-12,Added in March 2016 review,Function,20,Police services,Community safety,Police services,contains,607,Demonstrations and parades permission,Service
133,Public safety,,2016-09-12,2016-09-12,Added in March 2016 review,Function,20,Police services,Community safety,Police services,contains,1689,Designated public places order,Service
133,Public safety,,2016-09-12,2016-09-12,Added in March 2016 review,Function,20,Police services,Community safety,Police services,contains,97,Housing crime support,Service
133,Public safety,,2016-09-12,2016-09-12,Added in March 2016 review,Function,20,Police services,Community safety,Police services,contains,99,Housing estate safety,Service
133,Public safety,,2016-09-12,2016-09-12,Added in March 2016 review,Function,20,Police services,Community safety,Police services,contains,98,Housing nuisance,Service
133,Public safety,,2016-09-12,2016-09-12,Added in March 2016 review,Function,20,Police services,Community safety,Police services,contains,1754,Premises closure notice,Service
133,Public safety,,2016-09-12,2016-09-12,Added in March 2016 review,Function,20,Police services,Community safety,Police services,contains,1753,Public Spaces Protection Order,Service
22,Youth offending,,2013-04-03,2013-04-03,,Function,16,Community safety,Community safety,,contains,1694,Child safety orders,Service
22,Youth offending,,2013-04-03,2013-04-03,,Function,16,Community safety,Community safety,,contains,175,Parenting orders,Service
