Identifier,Label,Description,Created,Modified,History notes,Type,Parent identifiers,Parent labels,Level 1,Level 2
103,Planning policy,,2013-04-03,2013-04-03,,Function,99,Planning and building control,Planning and building control,
170,Planning services,,2016-09-12,2016-09-12,Added in March 2016 review,Function,99,Planning and building control,Planning and building control,
104,Town centre management,,2013-04-03,2013-04-03,,Function,99,Planning and building control,Planning and building control,
105,Transport and highways,,2013-04-03,2013-04-03,,Function,,,,
106,Community transport,,2013-04-03,2013-04-03,,Function,105,Transport and highways,Transport and highways,
107,Cycling,,2013-04-03,2013-04-03,,Function,105,Transport and highways,Transport and highways,
108,"Footpaths, byways and bridleways",,2013-04-03,2013-04-03,,Function,105,Transport and highways,Transport and highways,
171,Highways,,2016-09-12,2016-09-12,Added in March 2016 review,Function,105,Transport and highways,Transport and highways,
109,Highway maintenance,,2013-04-03,2013-04-03,,Function,171,Highways,Transport and highways,Highways
172,Highways policy,,2016-09-12,2016-09-12,Added in March 2016 review,Function,171,Highways,Transport and highways,Highways
173,Road signs and markings,,2016-09-12,2016-09-12,Added in March 2016 review,Function,171,Highways,Transport and highways,Highways
110,Parking,,2013-04-03,2013-04-03,,Function,105,Transport and highways,Transport and highways,
111,Public transport,,2013-04-03,2013-04-03,,Function,105,Transport and highways,Transport and highways,
112,Road safety,,2013-04-03,2013-04-03,,Function,105,Transport and highways,Transport and highways,
113,Transport schemes,,2013-04-03,2013-04-03,,Function,105,Transport and highways,Transport and highways,
